타아	82	180
다라	93	158
가라	45	182
차아	64	144
사하	43	154
차자	64	173
나파	64	164
가사	83	161
마바	61	186
다다	85	170
사사	44	147
아파	77	150
파다	55	185
다자	50	185
가타	70	161
사타	64	183
자다	67	146
아가	57	165
가사	59	141
하나	77	148
마자	56	166
나바	92	171
마바	55	191
차다	66	158
나차	57	146
다파	83	190
나다	99	148
자나	58	183
타자	82	178
타가	79	191
가라	92	175
바자	41	160
타바	81	146
차자	51	172
차나	98	146
마카	50	149
바자	83	194
사사	61	184
나나	63	148
아가	54	154
마하	79	186
아차	60	153
다파	68	185
아다	50	193
마파	58	190
차차	84	161
타나	77	147
타카	49	153
마아	85	155
마바	56	143
카하	98	173
가자	80	196
카아	42	157
다타	47	155
마차	51	164
파라	51	193
나바	52	182
나차	89	157
마바	75	168
사나	85	185
라자	56	151
카가	57	183
다자	50	141
차마	96	189
카다	80	182
아차	89	166
타사	41	191
나라	76	180
다다	59	186
카라	87	158
파아	86	167
차파	62	188
마바	97	151
차카	84	143
하카	50	189
라가	99	173
하라	96	168
아마	95	180
나사	46	147
자가	87	142
하카	68	175
가아	92	142
차차	48	158
카바	52	199
사나	72	151
다라	62	140
하나	76	171
차파	43	180
하아	79	141
아다	88	142
아파	72	142
라카	46	184
타아	55	161
나다	64	183
아마	98	165
자차	85	153
자하	59	157
하라	92	155
아나	46	179
타마	59	183
다라	58	167
라가	49	158
가파	50	171
하아	85	159
타하	71	154
사라	95	141
라마	89	193
파타	82	193
사바	42	173
다파	45	175
하차	56	142
파나	88	186
바타	41	178
라나	50	159
타자	98	178
파아	47	170
라사	84	143
라나	89	146
차하	81	185
마마	95	147
나하	55	189
하파	51	148
가사	89	149
차다	44	198
하다	81	189
카하	52	173
카바	44	140
바자	97	182
아가	56	183
자마	98	193
자나	47	189
자가	49	199
아파	52	168
가바	90	161
다마	78	173
하자	57	155
다하	96	168
하타	55	155
라사	86	172
아타	41	178
가마	95	162
하아	68	185
바다	95	154
사사	67	154
타차	56	173
하타	49	192
다파	62	176
파타	79	143
차카	59	170
다하	76	192
바차	74	146
사가	72	153
나사	98	146
라가	82	148
바타	94	142
라가	73	146
라마	49	170
다마	81	147
다자	84	147
마마	40	181
파카	92	164
사파	52	188
타타	81	181
나파	97	148
파타	67	167
파나	84	176
파파	58	191
마나	82	178
바아	98	166
다차	54	156
마타	73	186
마사	96	193
마가	61	163
바사	96	178
라다	67	170
사사	45	169
마카	45	198
다다	63	155
사자	90	173
마파	54	145
타가	82	170
나마	58	180
바하	64	161
자자	60	146
카사	82	192
나자	62	166
나자	40	173
다파	55	189
라하	44	167
바차	90	163
마카	45	190
차사	94	199
카사	87	142
아타	97	185
가파	50	161
아아	81	145
마하	51	168
라하	61	189
가마	80	149
다사	44	197
파사	55	152
아사	93	158
타나	79	141
라타	89	180
나다	66	173
카마	92	189
타카	98	172
라카	81	177
라카	51	177
하라	58	147
타가	84	149
바자	42	197
타자	64	197
자파	89	183
다라	77	161
자카	50	159
라하	57	159
바타	97	185
차바	45	162
다가	73	195
바라	94	171
아다	75	141
차나	40	193
사자	67	177
자나	64	163
마하	60	164
나라	79	177
타다	45	195
하다	68	177
다다	46	188
사나	60	147
다바	46	145
다자	94	160
바마	88	191
자차	78	155
라하	99	144
타파	80	153
마바	66	172
다바	44	157
사가	41	193
아나	47	152
하라	63	188
